Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount;Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Total Claim Amount;Policy Type;Vehicle Class;Customer;State;Customer Lifetime Value;Education;Gender;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Total Claim Amount;Vehicle Class;Unnamed: 0;Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size;Vehicle Type;month
AI49188;Nevada;F;Bachelor;1288743.17%;48767.0;108.0;1/0/00;Personal Auto;Two-Door Car;566.472247;MY31220;California;F;College;899704.02%;54230.0;112.0;1/0/00;537.6;Personal Auto;Two-Door Car;ZL73902;Nevada;3265.156348;Bachelor;F;25820.0;82.0;0.0;Personal Auto;393.6;Four-Door Car;2;LZ68649;Washington;14947.9173;No;Basic;Bachelor;2011-02-10;Employed;M;22139;Suburban;Single;100;34.0;31;0.0;2;Personal Auto;Personal L3;Offer3;Call Center;480.0;SUV;Medsize;A;February
WW63253;California;M;Bachelor;764586.18%;0.0;106.0;1/0/00;Corporate Auto;SUV;529.881344;UH35128;Oregon;F;College;2580706.30%;71210.0;214.0;1/1/00;1027.2;Personal Auto;Luxury Car;KX23516;California;4455.843406;High School or Below;F;0.0;121.0;0.0;Personal Auto;699.615192;SUV;3;XL78013;Oregon;22332.43946;Yes;Extended;College;2011-01-11;Employed;M;49078;Suburban;Single;97;10.0;3;0.0;2;Corporate Auto;Corporate L3;Offer2;Branch;484.013411;Four-Door Car;Medsize;A;January
SX51350;California;M;College;473899.20%;0.0;67.0;1/0/00;Personal Auto;Four-Door Car;482.4;OK56965;California;F;Bachelor;4570865.34%;31264.0;198.0;1/1/00;825.657746;Personal Auto;Luxury SUV;HX17929;California;10083.48688;High School or Below;F;11828.0;90.0;0.0;Personal Auto;571.479602;Four-Door Car;10;HG93801;Arizona;5154.764074;No;Extended;High School or Below;2011-01-02;Employed;M;82730;Urban;Married;127;13.0;31;0.0;1;Corporate Auto;Corporate L3;Offer2;Branch;442.521087;SUV;Large;A;January
YB66933;Washington;F;Bachelor;538275.20%;77552.0;68.0;1/1/00;Corporate Auto;Four-Door Car;45.215059;EX46492;Arizona;F;Master;766652.04%;87864.0;94.0;1/0/00;421.456547;Personal Auto;Two-Door Car;FI86516;Oregon;4786.054889;Bachelor;F;0.0;68.0;0.0;Corporate Auto;489.6;Four-Door Car;85;CH50584;Oregon;32474.76977;No;Basic;High School or Below;2011-01-22;Employed;M;71449;Suburban;Divorced;102;17.0;7;0.0;2;Personal Auto;Personal L3;Offer4;Call Center;734.4;SUV;Small;A;January
SG20925;Washington;F;Master;518579.76%;99428.0;6464.0;1/1/00;Personal Auto;Four-Door Car;48.046869;LE84979;California;F;Master;1220812.00%;21331.0;103.0;1/0/00;419.062661;Personal Auto;SUV;ST27958;Washington;4386.277558;College;M;10621.0;67.0;0.0;Personal Auto;321.6;Four-Door Car;114;FE99816;Nevada;15563.36944;No;Premium;Bachelor;2011-01-19;Unemployed;F;0;Suburban;Married;253;15.0;40;5.0;7;Personal Auto;Personal L1;Offer3;Web;1214.4;Luxury Car;Medsize;A;January
HS28694;Washington;F;High School or Below;282986.39%;25317.0;71.0;1/0/00;Personal Auto;Two-Door Car;50.422181;EF52978;AZ;F;High School or Below;477712.16%;0.0;62.0;1/0/00;297.6;Personal Auto;Four-Door Car;NJ15094;Washington;5345.994644;Bachelor;F;0.0;72.0;0.0;Personal Auto;345.6;Four-Door Car;129;ZM45168;Oregon;2398.354197;No;Basic;College;2011-02-14;Disabled;M;14321;Suburban;Single;65;20.0;72;0.0;1;Personal Auto;Personal L2;Offer1;Branch;423.823547;Four-Door Car;Medsize;A;February
LH92841;Washington;F;Bachelors;725595.38%;88891.0;89.0;1/0/00;Personal Auto;Four-Door Car;50.528355;KN25556;AZ;F;College;720066.49%;0.0;66.0;1/0/00;316.8;Personal Auto;Four-Door Car;QF74147;California;8456.722498;College;F;84574.0;70.0;0.0;Special Auto;167.459769;Four-Door Car;137;GS85403;Washington;9031.214859;Yes;Extended;Master;2011-02-23;Unemployed;F;0;Suburban;Single;122;15.0;47;0.0;9;Corporate Auto;Corporate L2;Offer1;Branch;650.52179;Sports Car;Medsize;A;February
AZ95587;AZ;F;Bachelor;1038855.32%;61222.0;89.0;1/0/00;Special Auto;Four-Door Car;392.604371;QR72180;California;F;Doctor;324131.42%;66889.0;80.0;1/0/00;294.319428;Personal Auto;Four-Door Car;OG71924;Oregon;6966.142868;Master;F;0.0;93.0;0.0;Personal Auto;436.143226;Four-Door Car;139;UI80897;Washington;5552.596353;No;Basic;High School or Below;2011-02-27;Employed;M;50470;Suburban;Divorced;71;1.0;87;0.0;8;Corporate Auto;Corporate L2;Offer4;Call Center;377.498287;Two-Door Car;Large;A;February
OJ94107;AZ;M;Master;561906.85%;50335.0;140.0;1/0/00;Personal Auto;SUV;456.52385;TM13955;Washington;M;Master;299302.46%;0.0;80.0;1/0/00;286.115778;Corporate Auto;Four-Door Car;ZL18631;Arizona;2539.990699;College;F;54889.0;63.0;0.0;Personal Auto;302.4;Four-Door Car;141;WP64059;California;5093.379714;No;Basic;Bachelor;2011-01-06;Employed;F;91814;Urban;Married;63;30.0;99;0.0;3;Personal Auto;Personal L1;Offer3;Call Center;167.037619;Two-Door Car;Medsize;A;January
LP84436;California;F;High School or Below;904711.92%;0.0;127.0;1/0/00;Personal Auto;Sports Car;1087.995426;GF94951;AZ;M;Bachelor;707665.32%;0.0;68.0;1/0/00;489.6;Corporate Auto;Two-Door Car;BZ71120;Oregon;8456.455313;College;F;89918.0;105.0;0.0;Personal Auto;367.230882;SUV;142;IP52990;Oregon;16794.31422;No;Basic;High School or Below;2011-02-24;Employed;F;38399;Urban;Married;106;12.0;6;0.0;2;Personal Auto;Personal L3;Offer2;Web;368.890904;SUV;Medsize;A;February
